Date,ES,6E,6M,ZN,ZC,GC,combined
1999-06-28,-791.5400000000009,0.0,11310.320000000003,-2437.179999999993,6075.780000000144,6163.200000000186,20320.58000000034
1999-06-29,-791.5400000000009,0.0,12210.320000000003,-2437.179999999993,5620.660000000149,5428.200000000186,20030.460000000345
1999-06-30,-793.9000000000015,0.0,12110.320000000003,-2437.179999999993,8420.660000000149,4984.480000000214,22284.380000000372
1999-07-01,-725.1500000000015,0.0,12760.320000000003,-2437.179999999993,10422.920000000158,4888.480000000214,24909.39000000038
1999-07-02,-738.760000000002,0.0,12755.700000000004,-2437.179999999993,12360.420000000158,8341.760000000184,30281.94000000035
1999-07-06,-728.760000000002,0.0,13018.200000000004,-2437.179999999993,12485.420000000158,8300.960000000196,30638.640000000363
1999-07-07,-726.260000000002,-6.619999999995343,13505.700000000004,-2437.179999999993,13672.920000000158,8536.240000000224,32544.800000000396
1999-07-08,-636.260000000002,443.38000000000466,12905.700000000004,-2437.179999999993,14422.920000000158,8390.800000000221,33089.36000000039
1999-07-09,-683.760000000002,705.8800000000047,11480.700000000004,-2437.179999999993,14355.300000000163,9056.80000000028,32477.740000000456
1999-07-12,-741.1200000000026,505.87999999997555,12230.700000000004,-2437.179999999993,14430.300000000163,8982.80000000028,32971.38000000043
1999-07-13,-658.6200000000026,30.879999999975553,13280.700000000004,-2437.179999999993,13075.180000000168,9611.80000000028,32902.76000000043
1999-07-14,-503.4800000000032,118.38000000000466,12980.700000000004,-2437.179999999993,11582.560000000172,9717.360000000219,31458.340000000404
1999-07-15,-341.4800000000032,268.37999999997555,13393.200000000004,-2437.179999999993,13527.440000000177,9789.920000000275,34200.280000000435
1999-07-16,-533.4800000000032,-994.1200000000244,13993.200000000004,-2437.179999999993,12402.440000000177,10117.920000000217,32548.780000000377
1999-07-19,-1155.8400000000038,-2406.6199999999953,12343.200000000004,-2437.179999999993,11464.940000000177,10153.480000000272,27961.98000000046
1999-07-20,-1212.9200000000055,-3781.6200000000244,12718.200000000004,-2437.179999999993,9464.940000000177,9250.480000000272,24001.90000000043
1999-07-21,-1390.4200000000055,-3756.6200000000244,12043.200000000004,-2437.179999999993,9397.320000000182,8987.04000000027,22843.340000000433
1999-07-22,-1437.9200000000055,-3631.6199999999662,11518.200000000004,-2437.179999999993,7547.320000000182,9558.32000000024,21117.12000000046
1999-07-23,-1517.9200000000055,-5556.619999999995,11518.200000000004,-2437.179999999993,9142.200000000186,9891.60000000021,21040.280000000406
1999-07-26,-1427.9200000000055,-5038.239999999991,11930.700000000004,-2437.179999999993,10342.200000000186,10096.60000000021,23466.16000000041
1999-07-27,-1390.280000000006,-5038.239999999991,11818.200000000004,-2437.179999999993,10567.200000000186,10014.600000000268,23534.30000000047
1999-07-28,-1482.780000000006,-5038.239999999991,10880.700000000004,-2437.179999999993,9929.700000000186,8784.600000000268,20636.80000000047
1999-07-29,-1572.780000000006,-5038.239999999991,11068.200000000004,-2437.179999999993,9442.200000000186,9150.880000000296,20613.080000000497
1999-07-30,-1552.6400000000067,-5038.239999999991,10618.200000000004,-2437.179999999993,7642.200000000186,9710.880000000237,18943.220000000438
1999-08-02,-1552.6400000000067,-5038.239999999991,10426.080000000005,-2437.179999999993,6999.580000000191,9750.880000000296,18148.4800000005
