Date,TA,M,RB,FG,MA,HC,V,RM,AG
2014-12-15,81328,177500.0,91256,40372,14120,3512,1231.0,474630,2068550
2014-12-16,75920,173394.0,161624,29408,25526,5780,391.0,326626,2285282
2014-12-17,92892,172752.0,121674,24172,58362,4874,704.0,394396,4471222
2014-12-18,88672,125030.0,262186,16976,8974,2920,294.0,339028,3447224
2014-12-19,58178,124168.0,269702,17708,237206,2290,1956.0,321678,2349256
2014-12-22,60690,102677.0,232834,22698,100164,5116,2398.0,243576,1675818
2014-12-23,44976,210242.0,265606,19016,102294,6404,610.0,394800,2183162
2014-12-24,64612,160613.0,204312,28156,283016,4716,1205.0,261206,1978900
2014-12-25,49538,133972.0,275176,20100,138868,1748,291.0,253210,935536
2014-12-26,47830,154803.0,144844,13024,61458,2944,304.0,266240,680196
2014-12-29,39106,287745.0,227140,80700,75860,3912,216.0,377428,1280768
2014-12-30,94098,227832.0,479646,31980,67738,11186,1192.0,281678,1554396
2014-12-31,58174,190151.0,288258,61188,64622,6260,486.0,247860,2393764
2015-01-05,60930,178816.0,159400,52204,50714,3480,686.0,301050,513798
2015-01-06,70758,235915.0,381522,92832,57012,7502,1016.0,252614,2199972
2015-01-07,110426,136539.0,244838,32140,41428,4930,2163.0,264000,1865876
2015-01-08,70374,151801.0,191572,33700,25488,3476,535.0,202426,1434122
2015-01-09,114988,156176.0,226614,26604,31860,4748,2767.0,243564,1415890
2015-01-12,85306,105982.0,322214,34918,76154,10700,1398.0,181884,2522336
2015-01-13,141092,233887.0,182992,23642,59118,7650,2652.0,282542,1816952
2015-01-14,102936,318219.0,299684,44448,64364,20266,1933.0,422436,2630104
2015-01-15,156336,222695.0,246296,32746,41304,11844,1975.0,298916,2546564
2015-01-16,104844,329025.0,189006,34042,80124,8,1608.0,395466,2161856
2015-01-19,110626,542367.0,341826,31876,75752,20,696.0,672998,3544420
2015-01-20,68536,281718.0,200508,17870,43322,0,1039.0,373578,1461346
2015-01-21,101446,344924.0,225174,25704,56080,4,389.0,468958,9610
2015-01-22,102614,245592.0,188644,23640,54412,0,399.0,316534,12958
2015-01-23,91154,184126.0,262406,33254,39084,0,452.0,288084,4594
2015-01-26,100168,263430.0,297910,41000,41716,2,802.0,311180,1660
2015-01-27,72652,238079.0,187090,17786,28208,10,294.0,343020,2684
2015-01-28,75222,154827.0,158610,12542,49458,12,219.0,297444,1748
2015-01-29,72650,144108.0,318434,21800,29632,6,623.0,234532,8664
2015-01-30,64754,165923.0,200216,14710,22704,0,589.0,237266,9316
2015-02-02,184914,259483.0,301502,15200,66770,0,1229.0,328020,5120
2015-02-03,185864,195805.0,474088,27920,85764,0,2230.0,267608,3764
2015-02-04,193064,333092.0,797746,52314,70890,2,1266.0,345978,4234
2015-02-05,124132,178389.0,559858,26962,47682,0,927.0,302028,3310
2015-02-06,168846,202674.0,642274,18252,52066,0,799.0,303926,3858
2015-02-09,117554,183035.0,737512,28328,32534,0,624.0,297756,11502
2015-02-10,140920,249563.0,339944,24720,40118,0,566.0,296216,2468
2015-02-11,113810,340638.0,259518,47572,27812,0,422.0,293268,2276
