Date,TA,M,RB,FG,MA,HC,V,RM,AG,combined
2016-03-01,-5085,-9875,25960,5400,-1880,8890,6875,-7400,2770,25655
2016-03-02,-5275,-10045,25960,5240,-1880,8890,7075,-7860,2560,24665
2016-03-03,-5495,-10315,25960,5640,-1880,8890,7300,-8345,1375,23130
2016-03-04,-6175,-10575,25960,8520,-1880,8890,7770,-8945,520,24085
2016-03-07,-5940,-10235,25960,9875,-1880,8890,7270,-8485,860,26315
2016-03-08,-5940,-10180,25960,9515,-1880,8890,7770,-8495,860,26500
2016-03-09,-5940,-10180,25960,8735,-1885,8890,7070,-8285,860,25225
2016-03-10,-5940,-10185,25960,8855,-1885,8890,7220,-8435,860,25340
2016-03-11,-5940,-10195,25960,8855,-1895,8890,7020,-8415,860,25140
2016-03-14,-5940,-10165,25960,8075,-2045,8890,6620,-8245,860,24010
2016-03-15,-5940,-10055,25960,8250,-1745,8890,7715,-8115,860,25820
2016-03-16,-5940,-10215,25960,8050,-1475,8890,8190,-8385,860,25935
2016-03-17,-5940,-10415,25960,8970,-1035,8890,8490,-8655,860,27125
2016-03-18,-5940,-10385,25960,8610,-825,8890,8315,-8530,860,26955
2016-03-21,-5940,-10655,25960,8490,-1005,8890,8090,-8530,860,26160
2016-03-22,-5940,-10675,25960,8330,-1055,8890,8115,-8530,860,25955
2016-03-23,-5940,-10725,25960,7410,-1585,8890,7440,-8530,860,23780
2016-03-24,-5940,-11095,25960,7290,-1445,8890,7340,-8530,860,23330
2016-03-25,-5940,-10790,25960,7210,-1535,8890,6865,-8530,860,22990
2016-03-28,-5940,-10790,25960,7210,-1965,8890,6490,-8530,860,22185
2016-03-29,-5940,-10790,25960,7565,-1955,8890,6965,-8530,860,23025
2016-03-30,-5940,-10790,25960,7545,-1905,8890,6790,-8530,860,22880
2016-03-31,-5940,-10790,25960,7645,-1835,8890,7315,-8530,860,23575
2016-04-01,-5940,-10790,25960,7505,-2305,8890,6940,-8530,860,22590
2016-04-05,-5940,-10790,25960,7825,-2080,8890,6640,-8530,860,22835
2016-04-06,-5940,-10790,25960,8225,-2080,8890,6590,-8530,860,23185
2016-04-07,-5940,-10790,25960,8145,-2080,8890,6265,-8530,860,22780
2016-04-08,-5940,-10790,25960,8285,-2080,8890,6340,-8530,860,22995
2016-04-11,-5940,-10790,25960,8905,-2080,8890,6390,-8530,860,23665
2016-04-12,-5940,-10790,25960,8705,-2080,8890,6390,-8530,860,23465
2016-04-13,-5940,-10790,25960,8765,-2080,8890,6640,-8530,860,23775
2016-04-14,-5940,-10790,25960,8785,-2080,8885,6590,-8530,860,23740
2016-04-15,-5940,-10790,25960,8965,-2080,9915,6490,-8530,860,24850
2016-04-18,-5940,-10790,25960,8805,-2080,11095,6490,-8530,860,25870
2016-04-19,-5940,-10790,25960,9285,-2080,12435,6815,-8530,860,28015
2016-04-20,-5940,-10790,25960,9405,-2080,13645,7715,-8535,860,30240
2016-04-21,-5940,-10790,25960,9165,-2080,12275,7265,-9595,860,27120
2016-04-22,-5940,-10790,25960,9165,-2080,12410,7665,-9620,860,27630
2016-04-25,-5940,-10790,25960,9025,-2080,12405,7615,-9620,860,27435
2016-04-26,-5940,-10790,25960,9445,-2080,11870,7765,-9620,860,27470
