symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
SI2312,20230306,17245.0,17400.0,17245.0,17245.0,54,412,466.4475,17275.0,17425.0,SI
SI2401,20230306,17260.0,17260.0,17260.0,17260.0,2,16,17.26,17260.0,17400.0,SI
SI2402,20230306,0.0,0.0,0.0,17120.0,0,13,0.0,17120.0,17310.0,SI
SI2308,20230321,16200.0,16330.0,15785.0,15870.0,45907,58019,366570.33,15970.0,16185.0,SI
SI2309,20230321,16125.0,16210.0,15710.0,15805.0,19452,15575,154947.95,15930.0,16130.0,SI
SI2310,20230321,16130.0,16130.0,15700.0,15720.0,738,1137,5809.22,15740.0,16040.0,SI
SI2311,20230321,15770.0,15770.0,15580.0,15675.0,20,666,156.5175,15650.0,15960.0,SI
SI2312,20230321,16040.0,16045.0,15730.0,15780.0,22,431,173.9425,15810.0,15945.0,SI
SI2401,20230321,15825.0,15825.0,15725.0,15755.0,6,38,47.33,15775.0,15970.0,SI
SI2402,20230321,16070.0,16070.0,15720.0,15735.0,7,30,55.52,15860.0,16010.0,SI
SI2403,20230321,15895.0,15895.0,15895.0,15895.0,1,2,7.9475,15895.0,16100.0,SI
SI2308,20230324,15920.0,15980.0,15750.0,15895.0,42570,60439,338260.145,15890.0,15950.0,SI
SI2309,20230324,15890.0,15905.0,15680.0,15835.0,20066,14965,158830.5575,15830.0,15890.0,SI
SI2310,20230324,15700.0,15850.0,15700.0,15825.0,826,1930,6514.4775,15770.0,15870.0,SI
SI2311,20230324,15795.0,15795.0,15675.0,15735.0,10,662,78.7525,15750.0,15780.0,SI
SI2312,20230324,15750.0,15905.0,15750.0,15855.0,3,443,23.755,15835.0,15860.0,SI
SI2401,20230324,15785.0,15910.0,15680.0,15910.0,8,40,63.2275,15805.0,15855.0,SI
SI2402,20230324,0.0,0.0,0.0,15850.0,0,32,0.0,15850.0,15850.0,SI
SI2403,20230324,0.0,0.0,0.0,15830.0,0,2,0.0,15830.0,15830.0,SI
SI2308,20230330,15710.0,15790.0,15650.0,15730.0,34111,62460,267889.08,15705.0,15765.0,SI
SI2309,20230330,15575.0,15730.0,15575.0,15665.0,15935,14326,124534.0775,15630.0,15575.0,SI
SI2310,20230330,15650.0,15650.0,15600.0,15600.0,9,1973,70.31,15620.0,15690.0,SI
