symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
IF1409,20140916,2434.6,2452.0,2386.2,2394.2,892304,82060.0,64941054.816,2400.2,2436.0,IF
IF1410,20140916,2441.4,2461.0,2394.0,2399.8,221932,73755.0,16202268.642,2407.8,2444.2,IF
IF1412,20140916,2453.0,2475.4,2407.0,2415.0,36884,30187.0,2706705.102,2421.2,2459.2,IF
IF1503,20140916,2478.2,2496.0,2432.6,2437.2,4971,8429.0,367800.174,2445.2,2480.0,IF
TF1412,20140916,93.608,93.618,93.506,93.58,1213,10912.0,113487.158,93.558,93.582,TF
TF1503,20140916,93.972,94.046,93.518,93.978,25,52.0,2348.908,93.984,93.992,TF
TF1506,20140916,94.342,94.342,94.342,94.342,1,3.0,94.342,94.342,94.39,TF
IF1409,20140917,2404.6,2408.8,2386.6,2402.0,530455,61413.0,38191974.27,2401.0,2400.2,IF
IF1410,20140917,2413.6,2415.0,2395.6,2409.6,281164,88711.0,20304633.138,2408.0,2407.8,IF
IF1412,20140917,2421.2,2429.6,2409.2,2424.0,23448,30492.0,1703385.792,2421.6,2421.2,IF
IF1503,20140917,2445.0,2453.4,2428.6,2444.0,4701,7819.0,344427.606,2441.6,2445.2,IF
TF1412,20140917,93.8,93.9,93.642,93.694,3833,9860.0,359290.602,93.688,93.558,TF
TF1503,20140917,94.13,94.13,94.13,94.13,1,53.0,94.13,94.13,93.984,TF
TF1506,20140917,94.418,94.418,94.418,94.418,1,4.0,94.418,94.418,94.342,TF
IF1409,20140918,2402.0,2415.0,2392.2,2405.8,244568,27951.0,17632805.274,2402.4,2401.0,IF
IF1410,20140918,2407.0,2424.6,2398.2,2414.0,655674,116261.0,47437631.064,2410.8,2408.0,IF
IF1412,20140918,2425.0,2436.0,2412.6,2426.8,25040,31879.0,1821113.934,2423.2,2421.6,IF
IF1503,20140918,2445.2,2454.6,2433.4,2445.4,2438,7891.0,178738.722,2443.0,2441.6,IF
TF1412,20140918,93.754,94.324,93.68,94.306,5734,11003.0,539214.394,94.254,93.688,TF
TF1503,20140918,94.156,94.702,94.156,94.702,45,79.0,4251.57,94.66,94.13,TF
TF1506,20140918,94.6,94.99,94.6,94.966,12,14.0,1138.598,94.95,94.418,TF
IF1409,20140919,2418.0,2421.8,2402.4,2419.4,86754,0.0,6278519.214,2419.41,2402.4,IF
IF1410,20140919,2417.2,2446.8,2411.2,2441.4,837992,133563.0,61021766.1,2439.6,2410.8,IF
IF1412,20140919,2427.0,2459.4,2425.0,2454.4,33190,32035.0,2430649.488,2452.8,2423.2,IF
IF1503,20140919,2446.6,2477.0,2444.8,2472.4,4001,7518.0,295354.416,2471.0,2443.0,IF
TF1412,20140919,94.35,94.762,94.316,94.702,5979,11386.0,565364.854,94.674,94.254,TF
TF1503,20140919,95.288,95.288,94.8,95.102,54,100.0,5127.77,95.05,94.66,TF
TF1506,20140919,95.0,95.4,95.0,95.4,24,32.0,2284.766,95.296,94.95,TF
IF1410,20140922,2438.2,2438.6,2375.6,2389.2,813739,130900.0,58586677.794,2383.2,2439.6,IF
IF1411,20140922,2443.4,2445.2,2383.6,2395.6,5378,964.0,388214.538,2390.0,2439.6,IF
IF1412,20140922,2450.0,2451.8,2388.4,2400.2,42530,31072.0,3079328.568,2394.8,2452.8,IF
IF1503,20140922,2476.0,2476.0,2408.0,2418.2,3842,7671.0,280384.518,2414.8,2471.0,IF
TF1412,20140922,94.7,94.85,94.46,94.714,4499,11601.0,425907.452,94.752,94.674,TF
TF1503,20140922,95.05,95.2,94.842,95.11,31,116.0,2946.266,95.146,95.05,TF
TF1506,20140922,95.2,95.422,95.13,95.37,8,34.0,762.112,95.37,95.296,TF
IF1410,20140923,2387.6,2416.8,2387.0,2403.8,752765,132865.0,54279719.766,2408.2,2383.2,IF
IF1411,20140923,2391.6,2423.4,2391.6,2411.0,4502,794.0,325384.326,2414.4,2390.0,IF
IF1412,20140923,2395.0,2429.2,2395.0,2416.4,35734,31568.0,2589302.142,2420.4,2394.8,IF
IF1503,20140923,2417.4,2448.0,2417.4,2436.4,3343,7893.0,244023.18,2440.2,2414.8,IF
TF1412,20140923,94.802,94.9,94.4,94.426,4770,10675.0,451355.08,94.468,94.752,TF
TF1503,20140923,95.12,95.2,94.844,94.922,56,121.0,5323.7,94.922,95.146,TF
TF1506,20140923,95.352,95.352,95.1,95.1,4,33.0,380.868,95.14,95.37,TF
IF1410,20140924,2402.8,2469.8,2393.0,2468.4,1032475,157619.0,75500991.894,2465.0,2408.2,IF
IF1411,20140924,2409.0,2476.6,2400.4,2475.4,8191,1382.0,601008.012,2472.2,2414.4,IF
IF1412,20140924,2416.0,2483.8,2407.0,2482.8,49377,32520.0,3632962.08,2480.0,2420.4,IF
IF1503,20140924,2436.4,2505.6,2426.6,2504.4,5186,8310.0,385473.63,2500.0,2440.2,IF
TF1412,20140924,94.42,94.514,94.278,94.406,2764,10719.0,260896.098,94.404,94.468,TF
TF1503,20140924,94.75,94.888,94.672,94.78,10,120.0,947.902,94.832,94.922,TF
TF1506,20140924,95.15,95.15,95.05,95.05,3,33.0,285.264,95.056,95.14,TF
IF1410,20140925,2476.0,2495.8,2445.0,2454.6,974558,154715.0,72324597.012,2455.4,2465.0,IF
IF1411,20140925,2485.0,2503.4,2452.0,2463.8,9957,2085.0,741536.592,2463.2,2472.2,IF
IF1412,20140925,2487.2,2512.8,2461.2,2470.6,51406,33446.0,3841706.664,2470.4,2480.0,IF
IF1503,20140925,2510.8,2533.0,2483.0,2493.2,5126,8478.0,386566.83,2493.0,2500.0,IF
TF1412,20140925,94.4,94.684,94.282,94.594,2641,10670.0,249458.0,94.54,94.404,TF
TF1503,20140925,94.694,95.002,94.694,94.956,10,120.0,948.17,94.972,94.832,TF
TF1506,20140925,95.218,95.218,95.218,95.218,1,34.0,95.218,95.218,95.056,TF
IF1410,20140926,2446.6,2464.6,2435.2,2450.8,833638,152423.0,61293560.478,2453.0,2455.4,IF
IF1411,20140926,2454.0,2471.0,2443.0,2458.4,9504,2322.0,700746.18,2460.4,2463.2,IF
IF1412,20140926,2464.4,2479.0,2449.6,2465.0,43121,34252.0,3189892.212,2468.0,2470.4,IF
IF1503,20140926,2483.0,2499.8,2472.0,2486.6,3826,8252.0,285372.882,2489.0,2493.0,IF
TF1412,20140926,94.58,94.616,94.4,94.448,1508,10284.0,142511.134,94.486,94.54,TF
TF1503,20140926,94.84,94.986,94.826,94.834,13,119.0,1233.778,94.87,94.972,TF
TF1506,20140926,95.074,95.084,95.074,95.084,2,35.0,190.158,95.078,95.218,TF
IF1410,20140929,2450.0,2462.4,2440.2,2455.2,610894,146791.0,44959059.846,2454.0,2453.0,IF
IF1411,20140929,2462.2,2469.2,2447.6,2460.4,5455,2875.0,402503.196,2459.8,2460.4,IF
IF1412,20140929,2466.0,2476.0,2454.0,2467.8,27727,34090.0,2051643.12,2467.4,2468.0,IF
