Date,CurrentContract,CarryContract
1981-08-14,198112,198112
1981-08-17,198112,198112
1981-08-18,198112,198112
1981-08-19,198112,198112
1981-08-20,198112,198112
1981-08-21,198112,198112
1981-08-24,198112,198112
1981-08-25,198112,198112
1981-08-26,198112,198112
1981-08-27,198112,198112
1981-08-28,198112,198112
1981-08-31,198112,198112
1981-09-01,198112,198112
1981-09-02,198112,198112
1981-09-03,198112,198112
1981-09-04,198112,198112
1981-09-08,198112,198112
1981-09-09,198112,198112
1981-09-10,198112,198112
1981-09-11,198112,198112
1981-09-14,198112,198112
1981-09-15,198112,198112
1981-09-16,198112,198112
1981-09-17,198112,198112
1981-09-18,198112,198112
1981-09-21,198112,198112
1981-09-22,198112,198112
1981-09-23,198112,198112
1981-09-24,198112,198112
1981-09-25,198112,198112
1981-09-28,198112,198112
1981-09-29,198112,198112
1981-09-30,198112,198112
1981-10-01,198112,198112
1981-10-02,198112,198112
1981-10-05,198112,198112
1981-10-06,198112,198112
1981-10-07,198112,198112
1981-10-08,198112,198112
1981-10-09,198112,198112
1981-10-12,198112,198112
1981-10-13,198112,198112
1981-10-14,198112,198112
1981-10-15,198112,198112
1981-10-16,198112,198112
1981-10-19,198112,198112
1981-10-20,198112,198112
1981-10-21,198112,198112
1981-10-22,198112,198112
1981-10-23,198112,198112
1981-10-26,198112,198112
1981-10-27,198112,198112
1981-10-28,198112,198112
1981-10-29,198112,198112
1981-10-30,198112,198112
1981-11-02,198112,198112
1981-11-03,198112,198112
1981-11-04,198112,198112
1981-11-05,198112,198112
1981-11-06,198112,198112
1981-11-09,198112,198112
1981-11-10,198112,198112
1981-11-11,198112,198112
1981-11-12,198112,198112
1981-11-13,198112,198112
1981-11-16,198112,198112
1981-11-17,198112,198112
1981-11-18,198112,198112
1981-11-19,198112,198112
1981-11-20,198112,198112
1981-11-23,198112,198112
1981-11-24,198112,198112
1981-11-25,198112,198112
1981-11-27,198202,198202
1981-11-30,198202,198202
1981-12-01,198202,198202
1981-12-02,198202,198202
1981-12-03,198202,198202
1981-12-04,198202,198202
1981-12-07,198202,198202
1981-12-08,198202,198202
1981-12-09,198202,198202
1981-12-10,198202,198202
1981-12-11,198202,198202
1981-12-14,198202,198202
1981-12-15,198202,198202
1981-12-16,198202,198202
1981-12-17,198202,198202
1981-12-18,198202,198202
1981-12-21,198202,198202
1981-12-22,198202,198202
1981-12-23,198202,198202
1981-12-24,198202,198202
1981-12-28,198202,198202
1981-12-29,198202,198202
1981-12-30,198202,198202
1981-12-31,198202,198202
1982-01-04,198202,198202
1982-01-05,198202,198202
1982-01-06,198202,198202
1982-01-07,198202,198202
1982-01-08,198202,198202
1982-01-11,198202,198202
1982-01-12,198202,198202
1982-01-13,198202,198202
1982-01-14,198202,198202
1982-01-15,198202,198202
1982-01-18,198202,198202
1982-01-19,198202,198202
1982-01-20,198202,198202
1982-01-21,198202,198202
1982-01-22,198202,198202
1982-01-25,198202,198202
1982-01-26,198202,198202
1982-01-27,198202,198202
1982-01-28,198204,198204
1982-01-29,198204,198204
1982-02-01,198204,198204
1982-02-02,198204,198204
1982-02-03,198204,198204
1982-02-04,198204,198204
1982-02-05,198204,198204
1982-02-08,198204,198204
1982-02-09,198204,198204
1982-02-10,198204,198204
1982-02-11,198204,198204
1982-02-12,198204,198204
1982-02-16,198204,198204
1982-02-17,198204,198204
1982-02-18,198204,198204
1982-02-19,198204,198204
1982-02-22,198204,198204
1982-02-23,198204,198204
1982-02-24,198204,198204
1982-02-25,198204,198204
1982-02-26,198204,198204
1982-03-01,198204,198204
1982-03-02,198204,198204
1982-03-03,198204,198204
1982-03-04,198204,198204
1982-03-05,198204,198204
1982-03-08,198204,198204
1982-03-09,198204,198204
1982-03-10,198204,198204
1982-03-11,198204,198204
1982-03-12,198204,198204
1982-03-15,198204,198204
1982-03-16,198204,198204
1982-03-17,198204,198204
1982-03-18,198204,198204
1982-03-19,198204,198204
1982-03-22,198204,198204
1982-03-23,198204,198204
1982-03-24,198204,198204
1982-03-25,198204,198204
1982-03-26,198204,198204
1982-03-29,198206,198206
1982-03-30,198206,198206
1982-03-31,198206,198206
1982-04-01,198206,198206
1982-04-02,198206,198206
1982-04-05,198206,198206
1982-04-06,198206,198206
1982-04-07,198206,198206
1982-04-08,198206,198206
1982-04-12,198206,198206
1982-04-13,198206,198206
1982-04-14,198206,198206
1982-04-15,198206,198206
1982-04-16,198206,198206
1982-04-19,198206,198206
1982-04-20,198206,198206
1982-04-21,198206,198206
1982-04-22,198206,198206
1982-04-23,198206,198206
1982-04-26,198206,198206
1982-04-27,198206,198206
1982-04-28,198206,198206
1982-04-29,198206,198206
1982-04-30,198206,198206
1982-05-03,198206,198206
1982-05-04,198206,198206
1982-05-05,198206,198206
1982-05-06,198206,198206
1982-05-07,198206,198206
1982-05-10,198206,198206
1982-05-11,198206,198206
1982-05-12,198206,198206
1982-05-13,198206,198206
1982-05-14,198206,198206
1982-05-17,198206,198206
1982-05-18,198206,198206
1982-05-19,198206,198206
1982-05-20,198206,198206
1982-05-21,198206,198206
1982-05-24,198206,198206
1982-05-25,198206,198206
1982-05-26,198206,198206
1982-05-27,198208,198208
1982-05-28,198208,198208
1982-06-01,198208,198208
1982-06-02,198208,198208
1982-06-03,198208,198208
1982-06-04,198208,198208
1982-06-07,198208,198208
1982-06-08,198208,198208
1982-06-09,198208,198208
1982-06-10,198208,198208
1982-06-11,198208,198208
1982-06-14,198208,198208
1982-06-15,198208,198208
1982-06-16,198208,198208
1982-06-17,198208,198208
1982-06-18,198208,198208
1982-06-21,198208,198208
1982-06-22,198208,198208
1982-06-23,198208,198208
1982-06-24,198208,198208
1982-06-25,198208,198208
1982-06-28,198208,198208
1982-06-29,198208,198208
1982-06-30,198208,198208
1982-07-01,198208,198208
1982-07-02,198208,198208
1982-07-06,198208,198208
1982-07-07,198208,198208
1982-07-08,198208,198208
1982-07-09,198208,198208
1982-07-12,198208,198208
1982-07-13,198208,198208
1982-07-14,198208,198208
1982-07-15,198208,198208
1982-07-16,198208,198208
1982-07-19,198208,198208
1982-07-20,198208,198208
1982-07-21,198208,198208
1982-07-22,198208,198208
1982-07-23,198208,198208
1982-07-26,198208,198208
1982-07-27,198208,198208
1982-07-28,198208,198208
1982-07-29,198208,198208
1982-07-30,198212,198212
1982-08-02,198212,198212
1982-08-03,198212,198212
1982-08-04,198212,198212
1982-08-05,198212,198212
1982-08-06,198212,198212
1982-08-09,198212,198212
1982-08-10,198212,198212
1982-08-11,198212,198212
1982-08-12,198212,198212
1982-08-13,198212,198212
1982-08-16,198212,198212
1982-08-17,198212,198212
1982-08-18,198212,198212
1982-08-19,198212,198212
1982-08-20,198212,198212
1982-08-23,198212,198212
1982-08-24,198212,198212
