Date,CarryContract,CurrentContract
1980-06-23,198007,198012
1980-06-24,198007,198012
1980-06-25,198007,198012
1980-06-26,198007,198012
1980-06-27,198007,198012
1980-06-30,198007,198012
1980-07-01,198009,198012
1980-07-02,198009,198012
1980-07-03,198009,198012
1980-07-07,198009,198012
1980-07-08,198009,198012
1980-07-09,198009,198012
1980-07-10,198009,198012
1980-07-11,198009,198012
1980-07-14,198009,198012
1980-07-15,198009,198012
1980-07-16,198009,198012
1980-07-17,198009,198012
1980-07-18,198009,198012
1980-07-21,198009,198012
1980-07-22,198009,198012
1980-07-23,198009,198012
1980-07-24,198009,198012
1980-07-25,198009,198012
1980-07-28,198009,198012
1980-07-29,198009,198012
1980-07-30,198009,198012
1980-07-31,198009,198012
1980-08-01,198009,198012
1980-08-04,198009,198012
1980-08-05,198009,198012
1980-08-06,198009,198012
1980-08-07,198009,198012
1980-08-08,198009,198012
1980-08-11,198009,198012
1980-08-12,198009,198012
1980-08-13,198009,198012
1980-08-14,198012,198103
1980-08-15,198012,198103
1980-08-18,198012,198103
1980-08-19,198012,198103
1980-08-20,198012,198103
1980-08-21,198012,198103
1980-08-22,198012,198103
1980-08-25,198012,198103
1980-08-26,198012,198103
1980-08-27,198012,198103
1980-08-28,198012,198103
1980-08-29,198012,198103
1980-09-02,198012,198103
1980-09-03,198012,198103
1980-09-04,198012,198103
1980-09-05,198012,198103
1980-09-08,198012,198103
1980-09-09,198012,198103
1980-09-10,198012,198103
1980-09-11,198012,198103
1980-09-12,198012,198103
1980-09-15,198012,198103
1980-09-16,198012,198103
1980-09-17,198012,198103
1980-09-18,198012,198103
1980-09-19,198012,198103
1980-09-22,198012,198103
1980-09-23,198012,198103
1980-09-24,198012,198103
1980-09-25,198012,198103
1980-09-26,198012,198103
1980-09-29,198012,198103
1980-09-30,198012,198103
1980-10-01,198012,198103
1980-10-02,198012,198103
1980-10-03,198012,198103
1980-10-06,198012,198103
1980-10-07,198012,198103
1980-10-08,198012,198103
1980-10-09,198012,198103
1980-10-10,198012,198103
1980-10-13,198012,198103
1980-10-14,198012,198103
1980-10-15,198012,198103
1980-10-16,198012,198103
1980-10-17,198012,198103
1980-10-20,198012,198103
1980-10-21,198012,198103
1980-10-22,198012,198103
1980-10-23,198012,198103
1980-10-24,198012,198103
1980-10-27,198012,198103
1980-10-28,198012,198103
1980-10-29,198012,198103
1980-10-30,198012,198103
1980-10-31,198012,198103
1980-11-03,198012,198103
1980-11-05,198012,198103
1980-11-06,198012,198103
1980-11-07,198012,198103
1980-11-10,198012,198103
1980-11-11,198012,198103
1980-11-12,198012,198103
1980-11-13,198012,198103
1980-11-14,198012,198103
1980-11-17,198012,198103
1980-11-18,198012,198103
1980-11-19,198012,198103
1980-11-20,198012,198103
1980-11-21,198012,198103
1980-11-24,198012,198103
1980-11-25,198012,198103
1980-11-26,198012,198103
1980-11-28,198012,198103
1980-12-01,198103,198105
1980-12-02,198103,198105
1980-12-03,198103,198105
1980-12-04,198103,198105
1980-12-05,198103,198105
1980-12-08,198103,198105
1980-12-09,198103,198105
1980-12-10,198103,198105
1980-12-11,198103,198105
1980-12-12,198103,198105
1980-12-15,198103,198105
1980-12-16,198103,198105
1980-12-17,198103,198105
1980-12-18,198103,198105
1980-12-19,198103,198105
1980-12-22,198103,198105
1980-12-23,198103,198105
1980-12-24,198103,198105
1980-12-29,198103,198105
1980-12-30,198103,198105
1980-12-31,198103,198105
1981-01-02,198103,198105
1981-01-05,198103,198105
1981-01-06,198103,198105
1981-01-07,198103,198105
1981-01-08,198103,198105
1981-01-09,198103,198105
1981-01-12,198103,198105
1981-01-13,198103,198105
1981-01-14,198103,198105
1981-01-15,198103,198105
1981-01-16,198103,198105
1981-01-19,198103,198105
1981-01-20,198103,198105
1981-01-21,198103,198105
1981-01-22,198103,198105
1981-01-23,198103,198105
1981-01-26,198103,198105
1981-01-27,198103,198105
1981-01-28,198103,198105
1981-01-29,198103,198105
1981-01-30,198103,198105
1981-02-02,198103,198105
1981-02-03,198103,198105
1981-02-04,198103,198105
1981-02-05,198103,198105
1981-02-06,198103,198105
1981-02-09,198103,198105
